,candidate,count,image_file,image_url,news_source,news_source_url,present
544,hillary_clinton,544,544_hillary_clinton.jpg,http://content.newsinc.com/jpg/1602/31129710/40564967.jpg?t\u003d1468330440,Washington Examiner,http://www.washingtonexaminer.com/hillary-clinton-the-devil-the-media-knows/article/2598978,1
550,hillary_clinton,550,550_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160905162003-hillary-clinton-september-5-2016-medium-plus-169.jpg,CNN.com,http://www.cnn.com/2016/09/11/politics/hillary-clinton-health/,1
551,hillary_clinton,551,551_hillary_clinton.jpg,https://heavyeditorial.files.wordpress.com/2016/09/clinton-clapping1.jpg?quality\u003d65\u0026strip\u003dall\u0026strip\u003dall,Heavy.com,http://heavy.com/news/2016/09/hillary-clinton-quotes-presidential-debate-best-funny-september-26-2016-first/,1
554,hillary_clinton,554,554_hillary_clinton.jpg,http://pixel.nymag.com/imgs/daily/intelligencer/2016/09/10/10-Clinton-NYC-fundraiser.w710.h473.2x.jpg,New York Magazine,http://nymag.com/daily/intelligencer/2016/09/clinton-says-half-of-trump-supporters-are-deplorable.html,1
555,hillary_clinton,555,555_hillary_clinton.jpg,http://cdns.yournewswire.com/wp-content/uploads/2016/09/Hillary-Clinton-With-Surprised-Face-Funny-Picture.jpg,Your News Wire,http://yournewswire.com/snopes-caught-lying-for-hillary-again-questions-raised/,1
559,hillary_clinton,559,559_hillary_clinton.jpg,https://img.washingtonpost.com/rf/image_480w/2010-2019/WashingtonPost/2016/06/17/Style/Images/240839704.jpg?uuid\u003dVUoUJDTPEeaHWNWOduEbEg,Washington Po,https://www.washingtonpost.com/lifestyle/food/why-hillary-clinton-eats-a-hot-pepper-every-single-day/2016/06/18/a8cbb5bc-2f16-11e6-9de3-6e6e7a14000c_story.html,1
560,hillary_clinton,560,560_hillary_clinton.jpg,http://media.salon.com/2016/09/hillary_clinton_mtr.jpg,Salon,http://www.salon.com/2016/09/30/our-lady-of-the-pantsuit-in-praise-yes-praise-of-hillary-clintons-style/,1
565,hillary_clinton,565,565_hillary_clinton.jpg,http://www.trbimg.com/img-57f85226/turbine/ct-hillary-clinton-wall-street-speeches-leaked-20161007,Chicago Tribune,http://www.chicagotribune.com/news/nationworld/politics/ct-hillary-clinton-wall-street-speeches-leaked-20161007-story.html,1
568,hillary_clinton,568,568_hillary_clinton.jpg,https://static01.nyt.com/images/2016/09/18/us/19clintonmedical2/19clintonmedical2-master768.jpg,The New York Time,http://www.nytimes.com/2016/09/19/us/politics/hillary-clinton-health.html,1
573,hillary_clinton,573,573_hillary_clinton.jpg,http://i.telegraph.co.uk/multimedia/archive/02902/hillary_2902913b.jpg,The Telegraph,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/10811894/Monica-Lewinsky-Hillary-Clinton-blamed-the-woman-for-Bill-Clintons-affair.html,1
574,hillary_clinton,574,574_hillary_clinton.jpg,http://nationalinterest.org/files/main_images/hrc_1.jpg,The National Intere,http://nationalinterest.org/feature/hillary-clinton-goes-full-liberal-18114,1
575,hillary_clinton,575,575_hillary_clinton.jpg,http://i2.cdn.cnn.com/cnnnext/dam/assets/160915154608-hillary-greensboro-rally-2-exlarge-169.jpg,CNN.com,http://www.cnn.com/2016/09/15/politics/hillary-clinton-greensboro-north-carolina/,1
580,hillary_clinton,580,580_hillary_clinton.jpg,http://www.telegraph.co.uk/content/dam/fashion/2016/06/08/5658356d_hillary_armani-xlarge_trans_NvBQzQNjv4BqV-q3XBMQS1IZC5Zs4zlzw3kply5kvPBAg7M-Vf0vPj8.jpg,The Telegraph,http://www.telegraph.co.uk/fashion/people/why-it-shouldnt-matter-that-hillary-clinton-wore-a-12495-armani/,1
