Unnamed: 0,candidate,count,image_file,image_url,news_source,news_source_url,present,image_hash
637,donald_trump,637,637_donald_trump.jpg,http://16411-presscdn-0-65.pagely.netdna-cdn.com/wp-content/uploads/2016/09/trump.jpg,Literary Hub,http://lithub.com/22-famous-writers-on-donald-trump/,1,8c0f4b2969696dcc
642,donald_trump,642,642_donald_trump.jpg,https://i0.wp.com/fusion.net/wp-content/uploads/2016/05/160523-trump-social-card-6.1.png?resize\u003d670%2C335\u0026quality\u003d80\u0026strip\u003dall,Fusion,http://fusion.net/story/305204/donald-trump-best-worst-quotes/,1,035151412131032a
645,donald_trump,645,645_donald_trump.jpg,https://static.independent.co.uk/s3fs-public/styles/article_small/public/indy100/Z1r35m__Zg/10993-1dfrorp.jpg,indy100,https://www.indy100.com/article/presenting-donald-trumps-best-worst-tweets--Z1r35m__Zg,1,534d2e4e8c3ccece
655,donald_trump,655,655_donald_trump.jpg,http://blogs-images.forbes.com/jenniferwang/files/2016/09/0923_donald-trump-portrait_650x455.jpg?width\u003d960,Forbe,http://www.forbes.com/sites/jenniferwang/2016/09/28/the-definitive-look-at-donald-trumps-wealth-new/,1,090b070e094bc20f
657,donald_trump,657,657_donald_trump.jpg,http://cdnph.upi.com/svc/sv/upi/7181473363120/2016/1/4f9ec6f569e1654dd56601bdb887ad2d/Donald-Trump-proposes-20-billion-school-voucher-education-plan.jpg,UPI.com,http://www.upi.com/Top_News/US/2016/09/08/Donald-Trump-proposes-20-billion-school-voucher-education-plan/7181473363120/,1,4f4bcbcdd88c8c14
685,donald_trump,685,685_donald_trump.jpg,http://ksassets.timeincuk.net/wp/uploads/sites/46/2016/05/donald-trump.jpg,Marie Claire,http://www.marieclaire.co.uk/entertainment/people/donald-trump-quotes-57213,1,5d4d4d490d1d4c26
690,donald_trump,690,690_donald_trump.jpg,http://www.slate.com/content/dam/slate/blogs/xx_factor/2016/09/29/is_fat_shaming_donald_trump_a_fair_response_to_his_misogyny/610704212-republican-presidential-nominee-donald-trump-speaks-at.jpg.CROP.promo-xlarge2.jpg,Slate,http://www.slate.com/blogs/xx_factor/2016/09/29/is_fat_shaming_donald_trump_a_fair_response_to_his_misogyny.html,1,f5b5a4a703030e3d
695,donald_trump,695,695_donald_trump.jpg,https://i0.wp.com/thefederalist.com/wp-content/uploads/2016/02/Trump1.jpg?resize\u003d350%2C200,The Federali,http://thefederalist.com/2016/02/26/watch-trump-drop-the-f-bomb-5-times-in-74-seconds/,1,7566767776766d67
711,donald_trump,711,711_donald_trump.jpg,http://media.npr.org/assets/img/2016/10/02/ap_9506070417_sq-af56d84c51185fddcb1051d17fcbbeee8e31febe-s300-c85.jpg,NPR,http://www.npr.org/2016/10/03/496373010/donald-trump-those-taxes-and-the-new-york-times,1,14a2e3a4ac9c94a8
720,donald_trump,720,720_donald_trump.jpg,http://www.slate.com/content/dam/slate/blogs/the_slatest/2016/09/16/donald_trump_s_birther_tweets_in_order/605694882-republican-presidential-nominee-donald-trump-speaks-at.jpg.CROP.promo-xlarge2.jpg,Slate,http://www.slate.com/blogs/the_slatest/2016/09/16/donald_trump_s_birther_tweets_in_order.html,1,919633799891ad8d
745,donald_trump,745,745_donald_trump.jpg,http://media.vanityfair.com/photos/57c86089c4c543236f2c11de/master/w_768,Vanity Fair,http://www.vanityfair.com/news/2017/01/donald-trump-a-pillar-of-ignorance-and-certitude-graydon-carte,1,989c1d9d19191979
750,donald_trump,750,750_donald_trump.jpg,http://media.vanityfair.com/photos/57f2d36c6d65c9f44d47fc88/master/pass/donald-trump-the-ugly-american.jpg,Vanity Fair,http://www.vanityfair.com/news/2016/10/graydon-carter-on-donald-trump,1,989cbcadecc6e2e6
761,donald_trump,761,761_donald_trump.jpg,http://i.telegraph.co.uk/multimedia/archive/03506/Donald-Trump-speak_3506344b.jpg,The Telegraph,http://www.telegraph.co.uk/news/worldnews/republicans/12008741/Donald-Trump-would-support-a-Muslim-database-following-Paris-attacks.html,1,e7242565049e7e3c
